from,to,distance,accessible
room_gf_151,corridor_gf_24,8.46,true
corridor_gf_24,room_gf_151,8.46,true
room_gf_151,corridor_gf_46,17.27,true
corridor_gf_46,room_gf_151,17.27,true
room_gf_151,corridor_gf_45,28.98,true
corridor_gf_45,room_gf_151,28.98,true
room_gf_151,corridor_gf_22,55.0,true
corridor_gf_22,room_gf_151,55.0,true
room_gf_152,corridor_gf_9,6.84,true
corridor_gf_9,room_gf_152,6.84,true
room_gf_152,corridor_gf_52,17.64,true
corridor_gf_52,room_gf_152,17.64,true
room_gf_152,corridor_gf_51,28.46,true
corridor_gf_51,room_gf_152,28.46,true
room_gf_152,corridor_gf_50,48.32,true
corridor_gf_50,room_gf_152,48.32,true
room_gf_153,corridor_gf_6,9.83,true
corridor_gf_6,room_gf_153,9.83,true
room_gf_158,corridor_gf_13,7.07,true
corridor_gf_13,room_gf_158,7.07,true
room_gf_159,corridor_gf_17,10.13,true
corridor_gf_17,room_gf_159,10.13,true
room_gf_159,corridor_gf_21,58.17,true
corridor_gf_21,room_gf_159,58.17,true
room_gf_1,corridor_gf_1,18.21,true
corridor_gf_1,room_gf_1,18.21,true
room_gf_2,corridor_gf_1,17.52,true
corridor_gf_1,room_gf_2,17.52,true
room_gf_3,corridor_gf_1,11.84,true
corridor_gf_1,room_gf_3,11.84,true
room_gf_4,corridor_gf_40,16.09,true
corridor_gf_40,room_gf_4,16.09,true
room_gf_5,corridor_gf_40,9.85,true
corridor_gf_40,room_gf_5,9.85,true
room_gf_6,corridor_gf_39,8.95,true
corridor_gf_39,room_gf_6,8.95,true
room_gf_7,corridor_gf_39,10.93,true
corridor_gf_39,room_gf_7,10.93,true
room_gf_8,corridor_gf_38,11.09,true
corridor_gf_38,room_gf_8,11.09,true
room_gf_9,corridor_gf_38,10.42,true
corridor_gf_38,room_gf_9,10.42,true
room_gf_10,corridor_gf_37,13.21,true
corridor_gf_37,room_gf_10,13.21,true
room_gf_10,corridor_gf_3,13.96,true
corridor_gf_3,room_gf_10,13.96,true
room_gf_10,corridor_gf_35,14.69,true
corridor_gf_35,room_gf_10,14.69,true
room_gf_10,corridor_gf_36,25.68,true
corridor_gf_36,room_gf_10,25.68,true
room_gf_11,corridor_gf_37,10.03,true
corridor_gf_37,room_gf_11,10.03,true
room_gf_12,corridor_gf_3,8.66,true
corridor_gf_3,room_gf_12,8.66,true
room_gf_12,corridor_gf_37,10.12,true
corridor_gf_37,room_gf_12,10.12,true
room_gf_12,corridor_gf_34,21.07,true
corridor_gf_34,room_gf_12,21.07,true
room_gf_13,corridor_gf_28,18.3,true
corridor_gf_28,room_gf_13,18.3,true
room_gf_14,corridor_gf_34,9.91,true
corridor_gf_34,room_gf_14,9.91,true
room_gf_14,corridor_gf_3,12.98,true
corridor_gf_3,room_gf_14,12.98,true
room_gf_14,corridor_gf_37,22.73,true
corridor_gf_37,room_gf_14,22.73,true
room_gf_15,corridor_gf_34,12.52,true
corridor_gf_34,room_gf_15,12.52,true
room_gf_16,corridor_gf_28,40.04,true
corridor_gf_28,room_gf_16,40.04,true
room_gf_17,corridor_gf_30,33.24,true
corridor_gf_30,room_gf_17,33.24,true
room_gf_17,corridor_gf_31,47.58,true
corridor_gf_31,room_gf_17,47.58,true
room_gf_17,corridor_gf_32,67.81,true
corridor_gf_32,room_gf_17,67.81,true
room_gf_17,corridor_gf_6,88.43,true
corridor_gf_6,room_gf_17,88.43,true
room_gf_18,corridor_gf_29,6.38,true
corridor_gf_29,room_gf_18,6.38,true
room_gf_200,corridor_gf_29,15.31,true
corridor_gf_29,room_gf_200,15.31,true
room_gf_20,corridor_gf_29,11.3,true
corridor_gf_29,room_gf_20,11.3,true
room_gf_20,corridor_gf_5,11.33,true
corridor_gf_5,room_gf_20,11.33,true
room_gf_20,corridor_gf_30,13.17,true
corridor_gf_30,room_gf_20,13.17,true
room_gf_21,corridor_gf_30,8.86,true
corridor_gf_30,room_gf_21,8.86,true
room_gf_22,corridor_gf_30,11.55,true
corridor_gf_30,room_gf_22,11.55,true
room_gf_22,corridor_gf_5,14.64,true
corridor_gf_5,room_gf_22,14.64,true
room_gf_23,corridor_gf_29,28.89,true
corridor_gf_29,room_gf_23,28.89,true
room_gf_23,corridor_gf_5,41.24,true
corridor_gf_5,room_gf_23,41.24,true
room_gf_23,corridor_gf_41,96.98,true
corridor_gf_41,room_gf_23,96.98,true
room_gf_24,corridor_gf_31,13.22,true
corridor_gf_31,room_gf_24,13.22,true
room_gf_25,corridor_gf_31,12.55,true
corridor_gf_31,room_gf_25,12.55,true
room_gf_160,corridor_gf_32,12.1,true
corridor_gf_32,room_gf_160,12.1,true
